,Gene,PCA_feat
85,120,"[0.7903797725535837, 0.6412613237234676, 0.1409026089135932, -0.11824579702997018, 0.04960848014934936]"
86,123,"[0.6294185113360413, -0.24506773406836724, -0.23354332003047618, -0.5160159258893043, -0.11084064464850062]"
87,124,"[0.8138648442541333, -0.5351095471430669, -0.18596154814992327, 0.5768634964055059, -0.07414902727060906]"
88,125,"[0.8790086723044251, -0.47029303092009855, -0.46525746954134967, 0.5658737773596906, -0.14675162044929912]"
89,126,"[0.8522322761269894, -0.49652130977192444, -0.3572788988010099, 0.5699183099266187, -0.10330170992059926]"
90,127,"[0.7903110273311813, -0.5568875898525268, -0.11227376755105803, 0.5789465125676143, 0.006560523530737709]"
91,128,"[0.8486310738545628, -0.5014932869078228, -0.3189534391401412, 0.5721110486082495, -0.1449446562181503]"
92,130,"[0.7334550563806591, -0.6138096919402942, 0.1373063064976447, 0.5889413202485096, 0.058325980295439624]"
93,131,"[0.7893631404364628, -0.5581967331878342, -0.10218830429747938, 0.5795233663498888, -0.004398219155375393]"
94,132,"[0.6302501453813959, -0.17594114664132277, -0.3446508136623197, -0.40861431125168945, -0.21076756015904524]"
95,133,"[0.6333645648241512, -0.14382746099144259, -0.4882426891451865, -0.36199796684781543, -0.1359505417006347]"
96,134,"[0.5898507698831019, -0.22595419744982806, -0.29195029405583395, -0.3693979191814958, -0.12331217601306921]"
97,135,"[0.7549049213696594, 0.31876228087911146, -0.2462348980048932, -0.24117534669336094, -0.08406278082921746]"
98,136,"[0.5835803323284409, -0.2430741886122523, -0.26919388237293407, -0.3713391696566999, -0.15317234515597147]"
99,140,"[0.5395475044257912, -0.2858647388920292, -0.09569886850153062, -0.3649472617867413, -0.07321728650934424]"
100,141,"[0.7318759207566916, -0.6159891617374096, 0.15411602738476524, 0.5899033542931765, 0.040061651985140334]"
101,142,"[-0.269928662752925, 0.06483413936062676, -0.7010740003270908, -0.02775942329685774, -0.20437438337256114]"
102,143,"[-0.4275995488231853, -0.09195573541008699, -0.030541285030044798, -0.0015978733229708546, -0.018738230380714597]"
103,146,"[0.5905019930530637, -0.2371479223715355, -0.28277145690213984, -0.3713878028523033, -0.19293578059316085]"
104,147,"[0.5731746854021208, -0.16411369769307255, -0.0621573364354667, -0.3341614353772097, -0.06396684599487658]"
105,148,"[0.6254182661859977, -0.19970407873057833, -0.47749589395192343, -0.3804040826487722, -0.14214479767426694]"
106,150,"[0.5702200430864559, -0.2538824730925743, -0.24319413595289718, -0.3711090503861681, -0.07350252459758622]"
107,151,"[0.6252297601738573, -0.19996204629276668, -0.47547782568322766, -0.38028774323369274, -0.14433616127870788]"
108,152,"[0.633094558492861, 0.13690804065276668, 0.12275276334012321, -0.24829290245674002, 0.07411895896475697]"
109,153,"[0.6035184903280789, -0.2227466931925772, -0.3629244501168831, -0.3752767426154125, -0.15898308187417312]"
110,154,"[0.7743153950180046, 0.29127884447811847, -0.42313646393013943, -0.2637306928633178, -0.13135258733221492]"
111,155,"[0.5969994423982183, -0.22819946228681473, -0.35203532873951177, -0.3753591491038096, -0.11768983406069639]"
112,156,"[0.8599878823166676, 0.7086583538996599, -0.07388414744385229, -0.18191911589540188, -0.0064901514304670565]"
113,157,"[0.7979065331457798, 0.45460526361954107, -0.1320878026473823, -0.24557898130141734, -0.14865941426034232]"
114,158,"[0.8309004746208546, -0.5187811692185504, -0.24875942297936826, 0.574698852551762, -0.11356502077441935]"
115,159,"[0.8283339432536954, -0.3064068042610303, 0.2001379643182899, 0.6643267232875537, -0.006212483446583583]"
116,160,"[0.7801866874284648, 0.6362976412012475, 0.11984458570578357, -0.10138339283922197, 0.04081400209479143]"
117,161,"[0.7566436213629514, 0.6109848133157356, 0.2518972385065833, -0.09525643173090431, 0.004980461056060696]"
118,162,"[0.8059624130315041, 0.5832502282528033, 0.30383344635417253, -0.2779244002366859, 0.07170526256544119]"
119,163,"[0.8141916437054341, 0.5910738217206817, 0.2747941211924316, -0.2788767263786284, 0.05013918384197915]"
120,164,"[0.6843262773455807, 0.5398962220808156, 0.5474610241528567, -0.08406342489720084, 0.1144244868954201]"
121,165,"[-0.3412841751886637, -0.008743747634045045, -0.3566334358843487, -0.013113536358156664, -0.2026677937947815]"
122,166,"[0.813234575283575, 0.6386730903845368, 0.15334894260982387, -0.17681930617443886, -0.0001013577037951752]"
123,167,"[0.4441693059646093, -0.32772101147741045, 0.1683778109843461, -0.27937803381604576, 0.03237273378797792]"
124,170,"[-0.3914138516722, -0.06002227472077238, -0.11861911523656869, -0.0030572250356016924, -0.19285960089829818]"
125,172,"[-0.4724112374097211, -0.13944119508082498, 0.20935846710518513, 0.009271161308892894, -0.06410450426880793]"
126,173,"[0.6358922959908639, -0.2397723268460306, -0.24241937977609934, -0.5158003594737655, -0.15572014647444704]"
127,174,"[0.6781136460990249, -0.19586320161256562, -0.4547516960164786, -0.5250921610203949, -0.14030757080099854]"
128,175,"[0.866804998046083, -0.4835909473569112, -0.393853114460327, 0.569254930240754, -0.17120986044811068]"
129,176,"[0.839033050769336, 0.7192401259558057, -0.18979544822015545, -0.07384721079401117, -0.10176881764839993]"
130,177,"[0.6238042079432888, -0.17242753768844898, -0.517034158130175, -0.34408805155462024, -0.14324575447209653]"
131,178,"[0.8219627075717107, -0.5274784623529439, -0.2136606820309206, 0.5759835793129126, -0.09717806183188801]"
132,181,"[0.611911030694527, -0.1921523236386015, -0.4360747164398728, -0.3683011022460174, -0.1516676445252122]"
133,182,"[-0.04600361807555689, 0.9414078819124364, -0.36844890274820213, 0.20247472540894626, -0.06731023212008266]"
134,183,"[0.6754542373779532, -0.13991645898776492, -0.5606393333882637, -0.4299846376314613, -0.11890039667244091]"
135,185,"[0.6280153139846252, -0.19582263765641794, -0.5035974019015048, -0.3817840669348569, -0.11360444554747665]"
136,186,"[0.6174242556912978, -0.20260652110987495, -0.4270750059017232, -0.3764669372317637, -0.1410226783651245]"
137,187,"[0.7830455662775024, 0.47170625479616346, -0.10872236461241568, -0.19376811706802818, -0.06097774805045135]"
138,189,"[0.8493260735968495, -0.5005336712499423, -0.3263495523555168, 0.5716879164338743, -0.13690828706484406]"
139,190,"[0.8260065334871868, 0.6953009876054248, -0.20004777421686235, -0.0770117460804212, -0.05699504705622204]"
140,191,"[0.8509019140543189, -0.4747120374695593, -0.29919463148051456, 0.5801841558823246, -0.09975480005288216]"
141,192,"[-0.3874335754693405, -0.054526931545271766, -0.16097883380271572, -0.005480778308952128, -0.14683318656690392]"
142,196,"[0.9274069505638848, 0.7960124204666443, -0.28386881251661994, -0.18102410101174093, -0.041648892157656076]"
143,197,"[0.6506475791960704, -0.1669738848405839, -0.41513916214788993, -0.4230883057152198, -0.1693455022606048]"
144,199,"[0.5846850471630943, -0.19193762538291279, -0.39888027975466706, -0.30652976027308154, -0.1648510423839127]"
145,202,"[-0.38831808129219797, -0.05574811891760527, -0.15156556301023857, -0.004942210914874256, -0.1570612786405471]"
146,203,"[0.5730080102912901, -0.2148090488956904, -0.07129774348033356, -0.3922010509427076, -0.12258414717381337]"
147,204,"[0.552241297183608, -0.251466605536234, -0.04766304876302132, -0.39809377961964126, -0.049822660410520414]"
148,205,"[0.5920813068525779, -0.12578200810047707, -0.02542493794509514, -0.36761509984058566, -0.08342184589892762]"
149,207,"[0.932018214450679, 0.7659304083591431, -0.43613102451667085, -0.2020704316342278, -0.05162036882696242]"
150,208,"[0.7985035987271348, 0.41497744574419954, -0.2717242959759988, -0.2670057737626831, -0.07244893870466483]"
151,210,"[0.827536531051624, -0.5197517111423755, -0.27281699781092195, 0.5726110220533364, -0.032882141208483526]"
152,211,"[0.8137663471302257, -0.46336717020671336, -0.044200482845474606, 0.6062710987992058, -0.030316397927670023]"
153,212,"[1.0658871101602683, 0.3673959192875327, 0.013611032300959086, 0.800806026527417, 0.0454233948052731]"
154,213,"[0.8623385776965541, 0.4095151530385346, -0.43537337354063205, -0.3852721242230569, -0.05169758027561542]"
155,214,"[0.765326369397568, 0.4713774130452858, -0.2425721148238282, -0.13478921697655516, -0.08257388717264953]"
156,215,"[0.8878065095709188, 0.6643102173545075, -0.03272646724444231, -0.2906172443350118, -0.046096843478508634]"
157,216,"[1.12072946660603, 0.3949464403746293, -0.2757956198758919, 0.7804068104975452, -0.030172549252844936]"
