,Drug,ECFP_PCA
165,DB03110,"[0.20124523384648038, -1.285108510448342, -1.0117513053098721, -0.37157877172725845, -0.7112434071889108]"
166,DB07943,"[0.4440884384348954, 0.9325405956018372, -0.6804776957869998, -0.15592589956650854, -0.5216042407308513]"
167,DB08064,"[1.2292846736273533, -0.19484706730385512, -0.7940594120460647, 1.0551414073153562, 1.4921955026620015]"
168,DB07833,"[0.6616586208413038, -0.026538202509811294, -0.5879880294634178, 0.642932187513545, 0.9154871151537468]"
169,DB06940,"[0.46120040772607485, 0.47129204733794805, -0.06510651838639134, 1.459830571471709, 1.5547020903956403]"
170,DB08395,"[0.7378182074504962, 0.7382739793794939, -1.1160553740557575, 0.12007147613127801, 0.15570150870433905]"
171,DB07811,"[0.024300920983053323, 0.8409357670408446, -0.17122186903744566, -0.01670450638144491, 0.6688027672198358]"
172,DB02873,"[1.1227791936207747, 0.4222836278907431, -1.6516284602296296, -0.7990027017617427, -0.5233468396407832]"
173,DB08522,"[0.13311340553025866, 0.4203866827863208, -1.5530450434270575, -0.25877560237768865, -0.8209051825470934]"
174,DB08096,"[1.0381764165840845, 0.055597769557956554, -1.5493224576592668, 0.533848441197979, -0.13199854269559483]"
175,DB08091,"[1.2510177554714315, 0.563011188194983, -0.43016981790151076, 0.3712013227099095, 0.12517861931694077]"
176,DB05470,"[0.5217880542828586, -0.41048600845363875, -0.8852506160263895, 0.33276638504983325, 0.11895766991081248]"
177,DB08136,"[0.11989031556361872, -0.3945536616066198, -0.3989051710135057, 0.5812860740544311, 1.084121026045552]"
178,DB08137,"[0.9003279103756047, -0.6357089891571692, -0.3155475993235396, 0.8654114889212426, 0.18648601862248002]"
179,DB08355,"[1.3575895833815164, 0.3119556103937287, -0.23012644998576687, 0.12354649560559694, -0.3210989591680764]"
180,DB06944,"[1.2132372719690083, 0.3756671820382674, -0.03711978486846552, 0.09196698612440299, -0.24679480826173283]"
181,DB04006,"[0.7462846263864441, -0.479830769207684, -0.6299571654106276, 0.7337130482355112, -0.6803754181286854]"
182,DB07529,"[0.33600461450778923, -0.11756291592935585, -1.2956383387382797, -0.45841544532108786, -0.969274009896934]"
183,DB07471,"[0.9608634728126686, 0.4098492632986, -0.4705835606559474, 0.916235199388685, 0.9249161740378791]"
184,DB02407,"[-0.45817556705514456, 0.7683348755941485, -0.8924964060652781, 0.16501929116704955, -0.4678714166481923]"
185,DB07612,"[0.9745972572242554, -0.6680589013613283, -1.325079373718416, 0.6325558317737471, 0.08565804389876812]"
186,DB02052,"[0.13973624787407302, -0.7882095179169231, -0.7960831489541613, -0.8539467823157132, -0.9334546049269564]"
187,DB07562,"[0.26735211764129074, -0.3211214060330863, -1.8415320280975729, 0.5537009508899855, 0.4528384931060242]"
188,DB07685,"[0.47148778866713525, 1.0580105230238215, -1.0301067843730958, 0.31475572311837313, 0.3885773554792495]"
189,DB06888,"[0.6092846478597075, 1.1486035670860804, -1.0928974727374918, -0.8356059084249718, -0.8852617668474191]"
190,DB07622,"[1.1225727703139314, 0.7843887622004028, -0.7758108275499065, -0.22267580607802132, -0.1950764640126287]"
191,DB03496,"[0.6863641958538508, 1.1332050629970218, -0.49917611772951564, -1.3461154587248951, -0.6777698649722516]"
192,DB08309,"[0.12870520896274942, 0.9466358289459638, -0.5099082886797934, 0.1555985159889466, 0.21407696010029867]"
193,DB04607,"[0.9671160424008413, -0.30805643944555355, -0.9709219317396391, 0.8460021331430558, 0.27264445452699543]"
194,DB08135,"[0.6644269239893901, -0.7577904944108816, -0.20794628016170194, 0.7056242585086206, -0.13024187507216517]"
195,DB08142,"[0.44135927570439853, 0.7214321143623681, -0.3223469412774912, 0.18910654932561546, 0.01935914861102895]"
196,DB08066,"[0.974065145312167, -0.5106488475298286, -0.40063387657245786, 0.8261522248461168, -0.13751011896989485]"
197,DB08247,"[-0.5689091198978148, 0.7408513990108039, -0.3509379320734786, 0.2955776472443503, -0.14570872931708406]"
198,DB08463,"[0.9009406511254796, 0.19940648589557378, -0.459764172587771, 1.47552968004866, -0.45934659912911446]"
199,DB07163,"[0.6212991670360103, -0.5134939445503481, -0.8738509700141974, -0.0885520089258266, -0.2641733086151855]"
200,DB08218,"[0.7561067682656167, 0.07290210865746267, -0.9509625588179837, 0.02046051692573947, -0.634193353498797]"
201,DB06616,"[0.9600728102541776, 0.7875011540339226, -1.3248676576073226, -0.016594232620788844, 1.340390396160611]"
202,DB07539,"[-0.019273437727645143, 0.02673514434007581, -0.08728483468066942, -0.9051220233416274, -0.5023501558827866]"
203,DB07606,"[0.5193441877350663, 0.0747064927183101, -1.0429721299758836, 0.18759337250145586, 0.2344088989202393]"
