,Drug,ECFP_PCA
2312,DB04859,"[1.5306924146336376, 0.6625871629823373, 0.5690054704311431, -0.9448274978660921, -1.1027714029386788]"
2313,DB04864,"[-0.517114702232055, 0.2347567063848726, -0.5365148278725467, -1.2527956118259347, -0.23340909518635966]"
2314,DB02166,"[0.24934425051356204, -0.666032496292626, -0.3213584830052683, 0.5656424859863269, -0.38462405304600156]"
2315,DB04114,"[0.23565898558219525, 0.26838147261222794, -1.2231134588638646, -0.1079359580861906, 0.062471337634741934]"
2316,DB08996,"[0.34749472935530973, -0.5834777796909006, -0.5516945574121898, -0.8694223890044904, -0.6465860218980153]"
2318,DB07756,"[0.6073199002918152, -0.4421771118099071, -1.0063495917690481, 0.6608480755411256, 0.10803180495265767]"
2319,DB03348,"[-0.48889374805905067, 0.72224670742251, -0.5930607296908306, -1.585612158049042, -0.3547309748172254]"
2321,DB07555,"[0.12044347242878692, -0.7544188618287195, -0.14619853353597248, 0.08774755820272641, 0.1637248844317678]"
2322,DB03359,"[0.14999803565670045, -1.0326478260001366, -0.9863299503624713, -0.4251110747322809, 0.12504726487796583]"
2323,DB04614,"[1.2375510716692142, 0.698597608320074, -0.36360922146555924, -0.49775229646289326, -1.2646987579675273]"
2324,DB02343,"[-1.4139765311050767, -1.3323865053187807, -0.27457051991067377, -0.33656977132010796, 0.3762859538975254]"
2325,DB03740,"[-2.187822023363256, 0.03394553959713823, 0.7253759673621036, 0.13906250812283374, -0.004177836114920895]"
2326,DB04556,"[0.16854869035552109, -1.0316697653975406, -0.49150583236410017, -0.18673329302056496, 0.1016562136660349]"
2327,DB08615,"[0.3465656000842937, -0.8913955869297171, -1.0839753402959358, -0.34432233055872313, 0.2619573942791003]"
2328,DB03283,"[-1.8273614573300878, -0.3884535609640147, -0.3762467332734675, -0.4821253347713316, -0.3861551118292066]"
2329,DB04617,"[0.6714777032234683, -0.46692079095983086, -0.29383251257146464, -0.46556368273626153, -0.733496049564278]"
2330,DB04615,"[1.2375510716692142, 0.698597608320074, -0.36360922146555924, -0.49775229646289326, -1.2646987579675273]"
2332,DB00167,"[-1.3166069660455333, -1.2751220769631193, 1.355222470843813, 0.39849117097799003, 0.3027343259769842]"
2334,DB04882,"[-0.9267253454237863, 1.2027083727189112, -0.26641255809301, 0.6319464030880335, -0.646740893357948]"
2335,DB04690,"[0.4098327084570148, 0.7957217904500846, -0.732248011450478, -0.7790804508713126, -0.12624446295467626]"
2336,DB08159,"[0.6165716613459821, -0.6620613010557067, 0.5428876142531981, -0.013426953691740814, -1.0546167664373993]"
2337,DB07354,"[-0.16025298126931128, 0.025340516834836544, -0.9153939246470828, -0.7170993382364229, 1.2541193103716617]"
2338,DB05630,"[-1.4918525223960517, -0.5260507437892079, 0.6355939180930389, -0.05108706108424235, 0.39199355748818426]"
2339,DB05806,"[0.6413327399457112, 0.69487098876301, -0.35908441242346484, -0.5165563041460943, -0.3461504553808679]"
2340,DB05482,"[0.07527439469655221, 0.6955824298148303, -0.48089626251618334, -0.6838992775603155, 0.2109505113972341]"
2341,DB05129,"[-0.6813694940670356, 1.4263129582278948, -0.2316936678065157, -0.9316351532900334, 0.6459923116694449]"
2342,DB04967,"[0.5976232025603124, -0.5614158524610712, -0.42550071545034385, -0.15725342676656415, -0.06386355354930172]"
2343,DB08838,"[-0.9836083182745599, -1.3863417924124497, 0.33500446410750867, 0.31780976708690234, -0.4636598118964052]"
2344,DB01463,"[0.30627967140428786, -0.0827923186188804, -0.027483857735956907, -0.7027598737257963, -0.7548240508907651]"
2345,DB04947,"[0.04822287468371259, 0.7883495431319113, 0.7043144249909375, -0.6969041681043949, 0.6208989360378945]"
2346,DB04917,"[0.5399971270042796, 1.2324317948264143, 0.530387215626652, -0.5921057314473911, 0.541838123451321]"
2348,DB04885,"[0.8178370232773913, 1.14002600081697, -0.7572641108455703, -1.1128078342614114, -0.7220887754096427]"
2349,DB02264,"[-1.7213862058474136, -0.06888313265763722, 0.39343109890178846, -0.495033968290878, -0.10820479739648257]"
2350,DB03959,"[-2.0642164288351403, 0.09089717471658523, 0.09383010537947675, 0.3454292014607001, -0.0012127888808071104]"
2351,DB00686,"[-1.3397369408222346, 0.10188214880809139, -0.20657357241607402, -0.7197594128330859, 0.2640405526628454]"
2352,DB04409,"[0.08612335169146994, -0.9609718575315871, -1.0429102768416438, 0.07470286767596664, 0.35181583153707585]"
2353,DB08238,"[0.3514114204953502, -0.6569305391411835, -1.0811021872143383, 0.21826231771622107, -0.20959406230386382]"
2354,DB01025,"[0.1453793221238322, -0.1999152536953463, -0.01579691064405964, 0.49471903699322345, 0.3077864245397353]"
2355,DB01901,"[-1.8800102362824078, 0.21426990785743422, 0.13416044962370205, -0.5555177527145372, 0.04621628995987893]"
2356,DB01024,"[-0.4863250237561495, -0.15979563138046285, 0.6498058934793035, -0.7451765495162466, 0.841538073078208]"
2357,DB01048,"[-0.9562419514842976, 1.4604631268764674, -0.7852329124999198, 1.0264815321778278, -1.0031914657977425]"
2358,DB01420,"[-1.1597841698904203, 1.1305013532108814, 0.621187847885858, -2.03653493514185, 1.1369787056645815]"
2359,DB06817,"[0.6573069905681895, 0.5573325106018251, -0.11166711248499726, 0.4807663231253432, 0.5334598798700624]"
2360,DB00173,"[-0.9435467881269786, -0.7171686751520325, -1.4005600452600324, 0.7057489881025232, -0.7218790893997994]"
2361,DB03130,"[0.40143273891925724, -0.8539464695107619, 2.240379799656774, 1.3803116892971738, 0.26282131548216336]"
2362,DB08179,"[-0.09961569583639049, -0.6174615217984026, -0.015521195148314395, -0.149298615024435, 1.800394233316073]"
2363,DB03330,"[0.1409847543116313, -0.9739146307132971, 2.1281434177048912, 1.1532540546815566, -0.18188462250384793]"
2364,DB03602,"[0.9653347765125683, -1.0726209174025723, 2.3315433864063495, 1.3760048714993187, -0.9241655881125558]"
2365,DB05107,"[-1.7373882545884745, 0.7482118573815537, -0.015219510687284277, -2.010197560773599, 0.01377279815324228]"
2366,DB03085,"[-1.30237742307147, -1.6006050310367954, 0.5220482819394245, -0.17126354517548603, -0.35131014171146385]"
2367,DB04234,"[0.24689417253227097, -0.5790483674812744, 2.134419540350151, 0.684769170482675, 0.6426863324111337]"
2369,DB07965,"[-0.17435313610966074, 1.5751808595557033, -0.8838868894834065, -0.06764680592378579, -0.860578461754351]"
2370,DB03456,"[1.175700952484431, 0.8249452265484846, 2.225511037820503, 0.23123325855373, -0.8614212335186068]"
2371,DB07563,"[0.4122082438232702, 1.470201690820572, -0.9939196528225199, -0.2811459052634793, -0.736713312700212]"
2372,DB02869,"[0.45247367476386907, -1.233648860476161, 0.6145881702870714, 0.3842220956719099, -1.0918447330987515]"
2373,DB07592,"[0.583844773424411, -0.7387712102277282, 2.1917720794177926, 0.538680754044569, 0.10960210809769623]"
2374,DB08594,"[-0.9882111141812645, -0.9940354552973872, 0.29972115950632733, -0.2953732795042471, 0.9373594681043446]"
2375,DB03642,"[1.7127553734031715, 1.738627849617413, 0.9386774509244267, 0.3450093683375034, -0.6325279641740474]"
2376,DB07967,"[0.591841806151003, 1.5497987842558216, -1.1957263584218012, 0.7459570240315639, -0.7626415467288603]"
2377,DB01858,"[0.39761600783168094, 0.2899702853130859, 1.1118725168193413, 0.3373567009530342, 0.6792136656818449]"
2378,DB08270,"[0.5658531485057107, -0.812359501650801, 1.022452181185505, 0.6107705785686366, 0.5863093958453289]"
2379,DB03891,"[0.9930424746386662, -0.7947172722856208, 1.870601094241786, 0.7314629944342329, -0.2312898576087748]"
2380,DB04244,"[1.3547775611265123, -0.5725276873815396, 0.6055909557837001, 1.083440812271076, 0.179570071829278]"
2381,DB08287,"[0.3855548860698098, 0.6448770071249946, 0.7163214873645111, -0.05317071485926114, 1.343580066010041]"
2382,DB07593,"[0.5882718935541679, -0.2933469884479402, 1.8151503821716704, -0.2643789689359324, 0.03255512610794431]"
2383,DB03405,"[1.2498615661074146, 0.7498425344834865, 2.338089935858471, 0.14177514836182484, -0.8710579287593317]"
2384,DB04523,"[-1.0304395418998218, 0.13669272937323612, 1.2228395575451043, -0.7361864938410619, 0.4215616306775421]"
2385,DB07167,"[0.3174809282832612, 1.066100673946897, 0.43490124892528254, -0.5701095831514295, 0.1642273481471228]"
2386,DB07202,"[1.1277299546475508, -0.27794711846127634, -1.4426325105344178, -0.13867643465116022, -0.5062097681598782]"
2387,DB04369,"[-1.4282335701281692, -0.9937863652249698, -0.5405354997499409, -0.8266345715600479, -0.4719610517692355]"
2388,DB04109,"[-0.3247359970336773, -0.30099331421509157, 0.10739188709944576, 0.19894744136353984, -0.16947118779081743]"
2389,DB02308,"[-1.4858680049414108, -0.7910234252276102, -0.32369212097673894, -0.48992147764399807, -0.19770469708166705]"
2390,DB03129,"[-1.4721124499189153, -0.6178872015739183, 0.11883365884774189, -0.17736707349886177, 0.09658906836379169]"
2391,DB02585,"[-0.23920812961436352, -1.15898406939044, -0.19405496176755146, 0.19494645352209522, -0.47407673376074094]"
2392,DB02541,"[-1.5488935266557056, -1.545314331256452, -0.18851651988154275, -0.33305515417015535, -0.4362605415430236]"
2393,DB03637,"[-1.4889061713044671, -1.3967426737991298, 0.04908325174466159, -0.11828734899957648, -0.17229821221645114]"
2395,DB04883,"[0.6892615924353446, -0.6558594349672169, 0.22749888449211017, 0.3658260506173241, 0.5056061005277338]"
2398,DB08354,"[1.4569605268676526, -0.31577252938507655, -1.1529638954632322, 0.9284802007907172, -0.8991989659180857]"
2399,DB08340,"[0.7719566652997035, -0.6378649724037971, -1.2510853058350775, 0.31114967577921643, -0.9643642358914194]"
2400,DB04719,"[-0.6629836100001104, -0.7552158255028165, -1.3623123841739242, -0.13411852757516368, -0.16480079120665403]"
2402,DB08353,"[1.0056808873804752, 0.7930329812736115, -0.6965989585907088, 0.0008493629854546043, -0.9153654348434054]"
2403,DB01765,"[0.4092369937486301, -0.5775192593116649, 0.1128383420411587, -0.11935966458731351, -1.0455931276679313]"
2404,DB04462,"[-0.7950433471041081, -1.1150742984246205, -1.0310544037262261, 0.02483707504680833, -0.6250117860413329]"
2405,DB08360,"[1.1665514974645206, 0.13370392870196976, -0.7917849191060832, 0.07954090087198057, -0.7739328077765625]"
2406,DB02170,"[-0.18308587190872783, -0.8144135185196795, -0.7830658128233104, -0.5358075226252548, -0.33491834773388973]"
2407,DB07715,"[-0.4491686478934821, -0.8557793814505632, -0.7940659470519625, -0.6877248966004035, 0.46942882009434467]"
2408,DB03924,"[-0.6453070138926325, -0.8388400114307846, -0.7515261548424647, -0.33532240875829594, -0.2640050860444377]"
2409,DB08362,"[1.3935327806891074, -0.17945848718466928, -0.5553475350144054, 0.6710070241433571, 0.22019101382652748]"
2410,DB08660,"[-0.555357846361681, -0.955756935536911, -0.784547023530814, -0.5576504104370884, -0.22610115035494885]"
2411,DB03035,"[0.09257185776904062, -0.9973700922843605, -0.9218407735426661, -0.622750754492174, -0.3329627146628427]"
2412,DB07802,"[-0.4604866028150639, -0.6701507188892979, -0.6324359618290613, -0.6817768408882794, 0.2541430706840353]"
2413,DB08473,"[-1.607793277575633, 1.0864302084273758, -1.3820913233064105, 1.0407024338252693, -0.726259958165481]"
2414,DB08345,"[1.111222402843952, -0.3281244103007693, -1.08813404709753, 0.751879264487419, -0.879991150686086]"
2415,DB04720,"[-0.8791489238384642, -0.7159657459193344, -1.253553441642248, -0.10779692473320765, -0.07960316253090033]"
2416,DB08338,"[0.6937647892352322, 1.367719707198498, -1.0907092768277569, -0.7177885306679715, -0.8674498704251811]"
2417,DB04721,"[-0.5297056116932106, -0.19716193135375196, -1.114704501187603, -0.6598372344967337, -0.3297809666604377]"
2418,DB04395,"[-2.736551916947789, 2.7718048884420528, -0.7780791079377422, 3.5988442150837314, -1.0590417272181207]"
2419,DB01643,"[-1.8671195902113056, 1.8222092696178256, -0.3714563479662143, 0.06620060745884791, -0.33379065473381314]"
2420,DB00642,"[0.611471528089194, -0.030404659577437976, 0.9822775115132748, 1.5141396932909923, -0.7910425957824295]"
2422,DB08479,"[-0.29822341772418526, -0.556351661206395, -0.16148850238117465, 0.36962946863034263, 1.3970529026256366]"
2423,DB00650,"[0.4350784078686736, 0.7808024906468669, 0.8820895520909108, 0.8793861796408562, -0.6977411924521627]"
2424,DB00322,"[-1.5674314415038972, 1.26537990010461, -0.5552436299629474, -0.5013189283527489, -1.0613267637698065]"
2426,DB00293,"[1.0458292896457482, 0.004614910702874784, 0.8694658219051625, 1.1142948746171288, -0.09428631437937254]"
2427,DB00563,"[0.5019714153328649, 0.06428061390090967, 0.7601901518339768, 1.7780740102055985, -0.0430248249350259]"
2428,DB08478,"[-0.04762430938414081, -1.049673050362282, -1.0759103774655396, -0.0074875689314395, 0.0559288337800964]"
2429,DB05116,"[-0.25475473716357955, 2.0090940883178754, 1.0021862600836275, 0.6760009274202798, -0.2555443021416686]"
2430,DB06813,"[0.4935819323510386, -0.07391519498949282, 0.7812675738547413, 1.897391342017047, -0.3614568414206447]"
2431,DB03800,"[-1.5735890684981488, 1.794322768236132, -0.49375730198741374, 0.08211210820094056, -0.726328655442391]"
2432,DB07577,"[0.5059138070234526, -0.9203474472414102, -0.7820796242066761, 0.5988329584998032, -0.7491540314596096]"
2433,DB08734,"[-0.13608404991208903, -0.030953235436452918, -0.9052309784331001, 0.26059551137414283, 0.7049096274483421]"
2434,DB00432,"[-1.6008580506535333, 1.275577324397014, -0.528786797421112, -0.5616410948434835, -0.9638424286257834]"
2435,DB03541,"[1.010369332994993, 0.0765986736067078, 0.7246369157428582, 1.3323091988278726, -0.3521958095867317]"
2438,DB07637,"[-0.411225396169634, -1.1829396647220243, 1.0966385190393944, 0.7116412996604496, -0.09069977202547079]"
2441,DB07468,"[0.5719050609768948, 0.21178189355251673, -0.5607823430590433, -0.8277203760644041, -0.9157753394573739]"
2442,DB07470,"[0.48363721929893233, 0.027778139074433356, -0.7000055801997929, -0.9593297569199212, -1.355124651723193]"
2443,DB07469,"[0.7810997029171042, 0.23535219899826565, -0.7033681058326358, -1.0105412948240304, -0.6679222806511282]"
2444,DB03126,"[-0.913222615161668, 2.9083931893552433, -0.3504401638832927, 2.9025862508044544, -0.7033956242086571]"
2445,DB01944,"[0.7649008730763721, 0.21395456442800748, -0.6768714834722196, -0.9911681342308044, -0.6644937268952046]"
2447,DB05013,"[-1.3510207718507612, 1.2345171766866585, 0.418242508547763, -1.1934622564674822, 0.8360431356434014]"
2448,DB04376,"[-1.273036005414698, 0.7760098511324078, 0.3443386836046758, -1.1210120638093841, 0.6616188820395202]"
2449,DB03329,"[0.16030647862489344, -1.0066400448473436, -1.4828411737464668, 0.3110724366856796, -0.9091235968602983]"
2450,DB02148,"[0.25543440337850815, -1.0638126331818694, 1.3329533916684213, 0.6837451711573785, -0.40916647659368094]"
2451,DB04579,"[-1.1383820590670137, -0.2940136323735038, 1.8315634420193498, 0.5904499946520024, 0.5432035802029956]"
2452,DB07225,"[-1.135524673651135, -0.3301729972303979, 1.7661846685565252, 0.5620130519524877, 0.48732016875413287]"
2453,DB02685,"[0.41503883123251595, -1.074639833943036, 1.167443896370065, 0.6913118413563895, -0.14684210997776273]"
2454,DB07231,"[1.2631919991113254, 1.2408070024098174, 2.2866363181576337, -0.27435646394010144, -0.9309539215831494]"
2455,DB07223,"[-0.5470022336768727, 1.1794453020290476, 2.2522325860407952, -0.37999070136150775, 0.13923902118030582]"
2456,DB03588,"[0.13829013146381577, -1.4383344655689558, 0.38495138857498373, 0.06653161017070597, -0.814109851046585]"
2457,DB07219,"[1.0665713926963598, 1.3192116503985998, 2.51513589323907, 0.09668086713826803, -0.8474444827292763]"
2458,DB02855,"[-0.16540530443882734, 0.7250971186660533, 2.614815536115089, -0.3568228324319223, -0.085019063008029]"
2459,DB07224,"[-1.2076785530052487, -0.2796881305625435, 1.887719014717265, 0.6439714796542962, 0.4297096133323905]"
2460,DB04126,"[-0.10457953884273853, -1.219880585354567, 2.0533735652921394, 0.440832400062778, 0.05804525783215678]"
2461,DB07160,"[-1.1867235530532023, -0.3879006595336896, 1.635187548057555, 0.4853995616829732, 0.5131047795879601]"
2462,DB02108,"[-1.3460427138131417, -1.546274923929465, -0.3530362614384302, -0.24095596972099922, -0.5687992413162122]"
2463,DB03766,"[-1.2199703431875994, -1.502218233053194, 0.7019661106199593, -0.2853348907447385, 0.08159406866675463]"
2464,DB00653,"[-1.2855285955929125, -1.5480308013681574, -0.6478117617867462, -0.5599068821144729, -0.2027111959276696]"
2465,DB00961,"[0.6534630249795461, 0.9082414464092573, 0.31662214543640027, -0.7949945779330728, -0.31193772238275164]"
2466,DB06218,"[0.9736590980621052, -0.7468557418909749, 1.6599389218739689, 0.5649364494086823, 0.1596797921565235]"
2467,DB00645,"[0.1563033256911521, 0.3570734503871194, 0.5644580749700422, -0.32327537473880286, 0.8142943937371961]"
2468,DB00807,"[-0.281759324866798, -0.4223356850106292, -0.01582442060712724, 0.7783021453570532, 1.3723739107185455]"
2469,DB01086,"[-0.42057624908437696, -0.71847344844141, 0.220324959882518, 0.3294728083166273, 0.8420374097433605]"
2470,DB00473,"[0.4897624735480826, 0.3359349543433318, 1.166670779001305, -0.06436653297848478, -0.0789076598221319]"
2472,DB06709,"[-1.2718046184548495, -1.0684876823524878, 0.8098222742017389, 0.0090663487249742, 0.685494408389332]"
2473,DB01625,"[0.2846192344675909, -1.1829443229576697, 0.8605184272045306, 0.22367943636976817, -0.3281693201028875]"
2474,DB04924,"[0.7479185262825248, -0.11448377458451432, 0.3605916125994653, 0.6915440777618822, 2.3276824645141305]"
2475,DB02400,"[-0.008092036416212804, 0.025162114766649896, -0.8276998237310182, -0.47289478869226925, 1.4060899577368322]"
2476,DB01927,"[-1.0768950800685784, -1.1986111374102184, -0.642995152483, -0.7446927273823722, 0.05025905738453961]"
2477,DB02633,"[1.1070398186487305, -0.1991399970961773, -1.092098080713342, 0.8106880219845607, -0.07342755345743614]"
2478,DB02395,"[-0.48599808500368824, 0.0736589559136821, -0.203025438887784, -0.9114227612711747, -0.2993395971105114]"
2479,DB07385,"[0.465583958025569, 0.2977576592631602, 0.18528525134913548, -1.0381973927454657, -0.8417763577680288]"
2480,DB04090,"[-0.7378093223256919, -0.18522522892840032, -0.026108369297097245, -0.9682676181931953, -0.3320881873634448]"
2481,DB03626,"[0.6533543353425822, -0.1606240186826688, -0.5213502241043, -0.30656916631669856, 0.4877777220007826]"
2482,DB04392,"[-0.1349213102063969, -0.23625079713979236, -0.5499048218407339, -0.7548691996338708, -1.061492867422621]"
2483,DB03206,"[-1.5638541910390302, -0.19676072608839737, -0.3878011704984179, -0.8120304804069254, -0.7176008832777035]"
2484,DB02742,"[-1.5373112676909535, 0.3086153597802594, -0.12029495279713537, -0.5966525163112776, -0.4096054376748589]"
2485,DB02422,"[-2.506261386097076, 0.065862804866175, 0.14914203672208493, 0.033998950433242775, 0.18494692007524774]"
2486,DB01955,"[-1.524620537548275, -1.5646894111192011, -0.19687960041778135, -0.32253727334229093, -0.42433612357480194]"
2487,DB00583,"[-1.2618772563354734, -1.3451199118360022, 0.5621249055403368, 0.04600408291103877, 0.3500189641661143]"
2488,DB06716,"[-0.2786285930068607, -0.2830551921592594, -0.13133153585268514, 0.6758549749312392, 0.3047416732616506]"
2490,DB00364,"[-1.8725371133540438, 0.3532872693613731, -0.0011802572985913414, -0.4720769297763266, 0.04019695405156514]"
2497,DB06836,"[0.6862962740409368, -0.5158058192778655, -0.693615800848896, 0.5389126271872566, 1.1572369676016334]"
2498,DB02656,"[0.8925373406945046, 0.0023982297548193862, -0.6727928830379887, -0.654328889800012, -1.278224043597709]"
2500,DB07503,"[-0.3170761995297065, -0.1297338489000911, -1.0987466039097225, -1.1895028459286505, -0.19256619374105852]"
2501,DB08300,"[0.49978224939575167, 0.12278193155393476, -1.8760751340767428, 1.192873835127415, -0.6226754595159207]"
2502,DB07335,"[0.3043388306692334, 0.060216450125849474, -1.0091134869661949, 1.1885586471042242, -0.4008352116250666]"
2503,DB08059,"[-0.49733252494599095, 1.3004952880209064, 0.13290675459328335, -1.3244748449879027, 0.6944412034036895]"
2504,DB07073,"[-0.8789882387521888, 0.46038898566940445, -1.0187816060855752, -1.0464973154293924, -0.47045337029377393]"
2505,DB04769,"[0.033999772649311914, -0.07679709605721549, -1.4824021230913775, -0.6159184139837278, -0.2513952961007021]"
2506,DB06831,"[1.150213445028802, 0.596262598380965, -1.1188821831493259, 0.843549923848847, 0.16191756219950582]"
2507,DB02375,"[-0.7873090399689432, -0.5896455807407024, -0.725838146562786, -0.5546184253228855, -0.06626357444192042]"
2509,DB00929,"[-1.0008539407840535, 0.5718069576874342, 1.0366624935169013, -0.5940392917513786, 1.016248041031803]"
2510,DB02640,"[-1.6027568373064305, 0.754892559683295, 0.9990672885783373, -1.3347111367596474, 0.7975856240670538]"
2511,DB02893,"[-1.3410984510187525, -1.3847323500632114, 1.3918708752050102, 0.3437320065910635, -0.30397606369056374]"
2512,DB07746,"[0.41435712765845834, -0.6775673008943454, 0.28859536561918936, -0.11700911209838491, 0.7382925292722177]"
2513,DB07323,"[0.6560902434468646, 0.07650260433875174, 0.45194507280457785, -0.44696661745077026, 0.8128737427211264]"
2514,DB05864,"[-1.285039756715308, 0.9044724741488834, 1.7329803124763656, -0.763109106111622, 0.9640772302742758]"
2515,DB07377,"[0.6907276830312585, -0.5757849950528366, 0.8557981997510415, 0.8559639933207135, 0.5007385700355499]"
2516,DB03086,"[0.03455376876585503, 0.3048241880575098, 1.1398906004696605, -0.2200335552999274, 0.14582226281792177]"
2517,DB00134,"[-1.3410984510187525, -1.3847323500632114, 1.3918708752050102, 0.3437320065910635, -0.30397606369056374]"
2518,DB02310,"[-0.3392662408106158, -0.6020040565449795, -1.4767005302525729, 0.24849897595060425, 0.4237769109875055]"
2519,DB07309,"[0.6451708824023278, -0.8190909124590242, -0.27337350471587285, -0.08604165689795967, 0.4512582292507933]"
2520,DB08633,"[-1.3798266367677494, 0.8765716733143354, 1.0017735331477313, -1.1042399531277438, 1.0306816594437942]"
2521,DB03396,"[-0.6279794375127606, 0.7061343496100355, 0.9034929667588927, -0.8536461362189376, 0.7476140937191645]"
2522,DB07322,"[0.9403978828813062, -0.42668827648919055, 0.3083085363695586, -0.5723385316693824, -0.4261204653008644]"
2523,DB07313,"[0.9889916585136839, -0.7637662656807347, 0.12604753792630816, -0.12854324116829752, 0.3026771412584081]"
2524,DB04108,"[0.8233649699241962, -0.6221005688559631, 1.1158715764414782, 0.8425114493448206, -0.11988365380843224]"
2525,DB01422,"[0.3344012894115104, -0.5798775663774601, -1.074732982185659, 0.29247602005539236, -0.5049749517873755]"
2526,DB04324,"[-1.7096627700145284, 0.8285428316316349, 0.21140668199530968, -1.7129692863037167, 0.753862234778608]"
2527,DB01834,"[0.5612930957139343, -0.48853095324045914, 2.181057561176553, 0.9812482213442779, -0.9102812922564097]"
2528,DB04339,"[-1.308605961998867, -1.3675247918532987, 1.1379862255401862, 0.5211575604136265, -0.7756461643785533]"
2529,DB05460,"[1.2073102073196655, -0.4908604571225132, 2.175037323184596, 1.2200433973842677, 0.18956873900734755]"
2530,DB03686,"[0.38916248336243925, -0.9877123516368782, 2.1850363409388542, 1.2394187070601745, -0.20418976459807187]"
2531,DB07849,"[-1.5949526426249276, -1.5080168940122374, 1.6218243419580753, 0.5209538914430883, -0.025467366132383165]"
2532,DB08370,"[-0.3593129900769377, -1.3045993373278606, 1.0345021586876, 0.7408671085687029, -0.5463642492685611]"
2533,DB00291,"[0.005517573140463861, -1.129927163588578, 0.7542721000597974, -0.05904943645095783, -0.30815683188094883]"
2534,DB01915,"[-1.4155516650484472, -1.5673608259455156, 1.081889158263977, 0.38895606724040716, -0.5109141600818201]"
2535,DB04972,"[0.7946154981024585, -0.18930991888382873, 2.0271771809320214, 1.143361791375315, -0.13432929593389917]"
2536,DB08690,"[-0.8896532747875991, -0.42766261075368783, -0.05153416764199014, -0.44046253451435574, 0.8411410646517679]"
2537,DB04799,"[-0.7385830869041631, -0.7009371938932445, -0.314799518972007, -0.020133804174355254, 0.3155035397767929]"
2538,DB07763,"[0.6057615255625913, 0.03618027572533958, -0.8610236720639297, -0.3742668313137945, -0.08142505567350217]"
2539,DB07778,"[0.5136474967529867, 0.022927593474230165, -0.5232282981476685, -0.3360300213874754, 0.23379499690087097]"
2540,DB08330,"[0.5248784391402949, -0.7597443946476942, 0.42482284992597835, -0.15434613001630829, 0.4323432898917572]"
2541,DB08453,"[0.19189872074907272, -0.9016115704509808, -0.31620795545904656, 0.054847695055073024, 0.008211034395516419]"
2542,DB07401,"[0.7531655645336763, -0.08221255318419401, -0.35815363328491817, 0.5696610742287675, 1.0054176461421354]"
2543,DB04464,"[-1.0399595355197584, -1.1928564987422257, 1.454306807579059, 0.26792292941391155, -0.007892358214840908]"
2544,DB02659,"[-1.2719020264930065, 0.38564162149154674, 1.629081217580471, -1.3998319141600293, 0.0639169487750572]"
2545,DB00331,"[-1.045952712071941, -1.3303000076446365, 0.040014111486760984, -0.013072861391391263, 0.030322384484726427]"
2546,DB01549,"[0.31591728283350495, -0.3326967960118925, -0.6533519582468635, -1.0361621532153387, -1.544259137292637]"
2547,DB04926,"[-1.5438147283338237, -0.867278031960015, -0.5465676549100126, -0.9787573921721543, -0.26150901441497343]"
2549,DB05475,"[1.1147380293013587, -0.9475359034731421, 1.684366892762021, 1.100813443922797, -0.7233883707974806]"
2550,DB03010,"[-1.3761394971458842, 1.6127466864357698, -0.2551506376936715, -1.7841221887987744, 0.14702217755035216]"
2551,DB01873,"[-1.2363991402019028, 1.471407677310391, -0.2547467635270575, -1.7932006765162185, 0.08324903835592876]"
2552,DB07574,"[0.27754140243955155, 0.9447746977192838, 0.28533768867052417, -0.686942430723842, 1.543939133696694]"
2554,DB02325,"[-1.3076528254848034, -1.5432542267470468, 0.03757544149332061, -0.39469914835183567, 0.022214468190342906]"
2563,DB05767,"[-0.9591785673744524, 0.5505228315384484, 0.6402232512188177, -1.7696131253463925, -0.5869703440087395]"
2565,DB05869,"[-1.2634473133645197, -1.0641737787003216, 0.6346577737609239, -0.08272281295551084, 0.7250718476014185]"
2568,DB02999,"[-1.1039109721544274, -0.6818189487815234, 0.7891978316821731, 0.4126447660027414, -0.9248864175642839]"
2569,DB02852,"[-1.212912296304455, -0.47516534689041195, 1.5598678709677924, -0.505255184500742, -0.28152620543952994]"
2570,DB03425,"[-1.1584077855062909, -1.5093399438815882, 1.3931064775177915, 0.4528286154956975, -0.15592911947809768]"
2571,DB02262,"[-0.3245692452303798, -0.8258816639790464, -0.231457628403542, -0.3682450896431781, -0.17594994495301003]"
2573,DB07975,"[1.1249357745983424, -0.05818032424499389, 0.0010036345040349065, -0.06363645363897755, 0.582249892231826]"
2574,DB08880,"[0.2132807965694753, -1.0521158338314287, 0.2173605392697362, 0.04905388834915432, 0.657859028180144]"
2575,DB03523,"[1.1915514828496403, -0.5172942642628655, -0.7210940067982861, 0.21172159518395373, -0.05396076019695639]"
2576,DB08006,"[0.976641129008029, -0.17844404944101264, -1.5711175824337353, 0.529564872448112, 0.11587436027650883]"
2577,DB02613,"[-1.4191295173430785, -1.536858674788282, -0.1089890147839481, -0.41423207749789404, 0.1170182793417196]"
2578,DB04281,"[0.5200237929607147, -0.03398096702414111, -0.36021504698615875, -1.193451121858701, -0.8919277011877891]"
2579,DB07976,"[1.2285780157597823, -0.36388323608070083, -0.09894136820200991, 0.17365567169080676, 1.6735767699197401]"
2580,DB03480,"[1.172111838816196, -0.5612642129774075, -0.4985362052033682, 0.26707487175741157, -0.03275007969223167]"
2581,DB07559,"[1.2022374112397833, -1.001940220741417, -0.026908523719244157, 0.017050220924055816, 0.3162274041624502]"
