,Disease,Size of largest pathway component,Density of pathway,Network Modularity,Distance of Pathway Components,Spatial Network Association
184,C0031117,0.42662116,0.007737622,-0.039569955,3.241671737,0.01369756
185,C0043094,0.483146067,0.021705822,-0.022287469,3.092433256,0.004982822
186,C0011053,0.111111111,0.032679739,-0.001760167,3.17032967,0.307242
187,C0403553,0.5,0.266666667,-0.001760423,2.76,0.1800062
188,C1263846,0.046511628,0.008859358,-0.001511353,3.363407258,0.971595
189,C0039685,0.294117647,0.058823529,-0.001087992,3.073333333,0.630867
190,C0524851,0.486486486,0.07957958,-0.013259588,2.993668301,0.4185248
191,C0004763,0.125,0.083333333,-0.002780676,2.787878788,0.1289284
192,C0376634,0.55704698,0.017322692,-0.027730746,3.054829724,0.008666294
193,C0520459,0.294117647,0.139705882,-0.004277002,2.723611111,0.07004351
194,C0020473,0.411764706,0.147058824,-0.003321772,2.60218254,0.5574343
195,C3463824,0.166666667,0.078431373,-0.005290354,2.644688645,0.6088715
196,C0003130,0.242424242,0.058712121,-0.008467726,2.708092105,0.1905636
197,C0149925,0.452380952,0.056910569,-0.016001038,2.990430622,0.1407607
198,C0014544,0.136363636,0.021445221,-0.010177827,3.072490781,0.9463472
199,C0162557,0.272727273,0.090909091,-0.003901767,2.841666667,0.3076385
200,C1449861,0.210526316,0.099415205,-0.003568591,2.833333333,0.6579035
201,C0009241,0.130434783,0.04743083,-0.009563378,2.880952381,0.5519432
202,C0085110,0.454545455,0.145454545,-0.001638798,2.686666667,0.1358917
203,C0018798,0.131578947,0.028449502,-0.004738893,2.768774929,0.3785393
204,C0018799,0.093023256,0.029900332,-0.009182176,2.809126984,0.05791873
205,C0023493,0.35483871,0.077419355,-0.010144498,3.062878788,0.221256
206,C0008312,0.173913043,0.055335968,-0.002243643,2.971428571,0.3091179
207,C0004936,0.272727273,0.109090909,-0.000993236,2.787037037,0.9905772
208,C0005283,0.2,0.155555556,-0.001336572,2.833333333,0.4696856
209,C0024809,0.2,0.133333333,-0.004038266,2.527777778,0.180976
210,C0023976,0.625,0.15,-0.002332861,2.536666667,0.7143563
211,C0006413,0.4,0.123809524,-0.005395007,2.782407407,0.6804041
212,C1861063,0.083333333,0.075757576,-0.00048453,3.244444444,0.2709127
213,C0018621,0.1,0.066666667,-0.001940936,2.933333333,0.1597977
214,C0021655,0.530612245,0.068877551,-0.013428639,2.919230769,0.6330243
215,C0149721,0.25,0.105072464,-0.007037293,2.648989899,0.171924
216,C0085129,0.076923077,0.08974359,-0.000883734,3.243589744,0.9443001
217,C1862939,0.265306122,0.033163265,-0.011045866,2.88337469,0.5763099
218,C0015934,0.2,0.155555556,-0.001674264,2.616071429,0.2213592
219,C0079541,0.3,0.088888889,-0.000531846,3.066666667,0.9946383
220,C0993582,0.2,0.042307692,-0.008560683,2.945812808,0.5615241
221,C0014549,0.2,0.155555556,-0.000573225,3.013888889,0.02268718
222,C0242656,0.68503937,0.030496188,-0.040517326,2.933502468,0.01450844
223,C0017668,0.545454545,0.138528139,-0.007829415,2.657407407,0.357384
224,C0334588,0.333333333,0.181818182,-0.008139178,2.527777778,0.1919875
225,C1959629,0.052631579,0.01754386,-0.001691982,2.894736842,0.3645371
226,C0005910,0.142857143,0.043956044,-0.000590964,3.179487179,0.1367838
227,C0020179,0.166666667,0.121212121,-0.00154092,2.790909091,0.5282917
